"와, 너무 좋아 보이는데~ 무슨 일 있었길래 이렇게 행복해진 거야? 기쁨이 넘쳐보이네, 부럽다!",그럭저럭 보람 있었던 하루였나봐. 뭔가 잘 풀린 일도 있었던 것 같고. 다행이다 싶어.,"오늘도 수고했어, 잘 쉬고 내일을 위한 에너지 보충하길 바랄게.",기분이 나빠보이네. 힘든 일 있었어? 이야기 나누고 싶다면 내 귀 기울여줄게.,"이 일이 정말 힘들고 슬프겠다. 지금 네 마음이 얼마나 아픈지는 다 알고 있어. 하지만 알아둬, 모든 일에는 시간이 걸리고, 모든 아픔도 결국은 지나가게 마련이란다. 지금 이 순간이 너무 힘들다고 해서, 앞으로의 인생 전체가 다 그럴 거라고 생각하면 안 된다구.이번 일을 계기로 더 성장할 수 있는 기회로 삼을 수도 있지. 포기하지 말고, 내일을 향해 한 걸음씩 나아가보렴. 혼자가 아니야. 너의 곁에서 늘 응원하고 있다구."
"오늘은 미소가 끊이질 않고 있구나. 정말 좋은 일이 있었나 봐! 그 기분 전해와, 나도 행복해지고 싶다.",오늘따라 기분이 좋아 보이는데. 무슨 좋은 일 있었어? 나랑도 좀 기쁨을 나눠줘. 행복하다는 건 역시 중요하지?,오늘 하루도 열심히 보냈겠다. 조금씩 내일을 향해 나아가고 있잖아.,우울해 보이는데 무슨 일 있었어? 함께 털어놓는다면 나아질 수 있을 거야.,"삶에는 예기치 못한 일들이 많다. 지금처럼 힘든 일들도 겪게 되지만, 시간이 지나면 반드시 지나갈 거야. 슬퍼하고 울기만 해도 돼. 난 곁에 있을게."
너무 반짝이고 있잖아! 매우 기분 좋은 모습이야. 그런 너가 너무 좋아 보여. 즐겁게 웃고 있어서 정말 좋아.,평소보다 살짝 밝아 보이는데. 오늘은 그럭저럭 보람찬 하루였나 봐. 작은 행복들도 열심히 모아서 내일로 가져가자구.,"평범한 하루지만, 그 속에서도 즐거웠던 일, 보람 있었던 일 있었을 거야.",지친 몸과 마음을 조금은 쉬게 해주는 게 좋겠어. 휴식 취하는 것도 좋지 않아?,인생의 아픔은 누구나 겪는 법. 지금 이 시기를 잘 견디면 더 성장할 수 있을 거야. 힘내봐. 함께 이겨내자고.
"너무 좋아 보이는데~ 부럽기도 하고 아주 매력적이야. 행복한 기운에 흠뻑 취했네, 축하해!","오늘따라 미소가 많아. 적당히 행복한 하루를 보내고 있나봐? 좋다 좋다, 내일도 이 기분 이어가길 바랄게.","오늘은 어땠어? 수고한 만큼 열심히 쉬어야 해, 내일도 화이팅!",조금이라도 마음 편히 쉬어보는 것도 좋다. 기분 전환을 위해 뭘 좋아하는지 물어봐도 돼?,어려운 일을 혼자서 견디려 하지 마라. 주위에는 널 위로하고 응원할 사람들이 많단다. 언제든 나에게 기대어도 돼.
"행복한 기운으로 가득 차 보이는구나! 정말 좋은 일들이 많았나 봐. 나도 행복버그에 걸렸어, 감사한 하루야.",오늘 하루 어땠어? 그럭저럭 해볼 만 했던 것 같네. 앞으로도 이렇게 적당히 행복하게 살아가자구!,평범한 일상이라도 소중하다. 오늘도 고마운 하루였어.,우울한 기분을 이겨내는 데 내가 도움이 될 수 있는 일이 있다면 꼭 말해줘.,실망이 크다면 큰 희망을 가졌다는 증거야. 다시 희망을 갖고 일어서길 바라. 너는 결코 혼자가 아니야.
"오늘따라 미소 짓는 시간이 많았겠지? 행복한 하루를 보내고 있구나, 정말 정말 부러워!","오늘따라 미소 짓는 횟수가 많아 보이는데? 하하, 무슨 좋은 일 있었나봐. 기쁨이 가득한 하루 보내고 있구나.","오늘 하루 일과 마무리 잘 했네. 수고했어, 충분히 쉬어야지!",어려운 시기도 반드시 지나가니 힘내! 다시 밝고 긍정적으로 돌아올 그날을 위해~,"인생에 반드시 있을 실수와 시행착오를 두려워 말고, 그저 겪고 배우는 자세로 임하렴. 언제나 여기 있을게."
그런 행복한 너가 너무 좋아 보여! 오늘 기쁨이 넘치는 하루인가 봐. 즐겁게 살아가길 바라.,오늘은 그럭저럭 기분 좋은 날이었나봐? 나도 모르게 입가에 미소가 떠오르고 있어. 내일도 이 기운 이어가자.,"지친 몸과 마음 힐링시켜주며, 내일의 힘을 기르길 바랄게.",지치고 우울할 때면 따뜻한 위로가 필요하지 않아? 내가 그 역할 충분히 해줄 수 있어.,아픈 일이지만 시간이 해결해 줄 거야. 울음을 참지 마라. 함께 이겨내자구.
반짝이는 눈빛이 도톰해졌어. 무슨 좋은 일 있었길래 이렇게 기뻐하고 있는 거야?,오늘따라 반짝이는 눈빛이 정말 예뻐. 적당히 행복한 하루를 보내고 있는 거 같다. 정말 다행이야.,오늘도 내일을 위해 꾸준히 나아가고 있잖아. 자랑스러워.,우울함에서 벗어나고 싶다면 언제든지 나에게 기대어도 돼. 여기 내 어깨 있잖아.,모든 어려움은 반드시 지나간다구. 너무 힘들어하지 마라. 곁에 있을테니까.
"미소 지을 때 더욱 아름다워 보여. 오늘은 행복한 하루인가 봐, 정말 축하해!",기분 좋은 일이 조금씩 있었던 것 같네. 오늘의 당신 진짜 매력 넘치다. 이 기운 내일로도 꼭 가져가길!,평범한 일상이 행복의 원천이 될 수 있다고 믿어. 수고했어 오늘도!,기분 전환이 필요할 것 같아. 같이 산책이나 영화 보러 가지 않을래?,인생에는 실망하는 일도 있지만 포기하면 안 돼. 다시 일어설 힘을 기르렴. 넌 할 수 있어.
"행복합니다가 얼굴에 가득하구나. 좋은 일들이 많았나봐, 기쁘다. 행복하길!","적당히 행복한 하루라니, 부러운 게 있네, 하하. 매일매일 행복하길 바라볼게.",오늘 하루도 열심히 보냈겠지? 충분한 휴식으로 내일을 대비하길!,괜찮아질 때까지 내 곁에 있을게. 우리 함께 이 시간을 이겨내자고!,아픔을 혼자 견디지 마라. 위로해줄 테니까 얘기 꼭 해주렴.
"너무 좋아 보이는데! 오늘 무슨 좋은 일이 있었어? 기분 좋은 비밀 좀 알려줘, 나도 행복해지고 싶다!",오늘따라 웃음기가 많다. 기쁨이 넘치는 하루를 보내고 있나봐! 행복 빛이 넘쳐 흐르는구나.,"오늘도 수고 많았어. 무언가 특별한 일이 없어도, 일상을 꾸려가는 건 참 보람 있는 일이야. 작지만 중요한 오늘의 성취도 자랑스럽다. 충분히 쉬고 내일을 기대해보아!","나쁜 기분 딛고 일어설 힘이 생기길 바라. 함께 여기까지 왔잖아, 잘 해낼 거야!",모든 상처는 아물 수 있어. 시간을 믿어봐. 함께 헤쳐나가자구.
"반갑다, 오늘따라 미소가 끊이질 않고 있네. 무슨 좋은 소식이라도 들었나, 행복한 기운이 물씬 풍기는구나!",오늘 하루는 그럭저럭 보람찼나봐? 미소 지으며 살아가는 모습 정말 좋다. 내일도 기대된다!,평소처럼 바쁘게 하루를 보낸 거겠지? 항상 고마운 마음으로 너의 노력과 열정을 본다. 오늘도 수고 많았어. 이렇게 날마다 성실하게 살아가는 너의 모습이 대견하기까지 하단다.,"괜찮아, 천천히 극복하고 일어서길. 너무 서두르지 말고. 내가 기다릴게.",어려울 때일수록 너의 가족과 친구들이 더 곁에 있다구. 혼자 내맡기지 마라.
"와, 오늘 기분 좋은 모습 만점이야! 즐거운 일이 조금씩 있었나봐, 너무 부럽다. 나도 좀 전해줘, 그 기쁨!",오늘따라 얼굴이 밝아 보이는데. 적당한 행복이라도 귀한 거야. 작은 기쁨의 순간들 소중히 간직하길.,오늘 하루 일과도 수월하게 잘 마무리한 것 같네. 평범한 날이지만 당연하지 않은 거야. 작은 성취들을 축하하며 푹 쉬길 바랄게!,"우울함이 주는 어둠 속에서도 희망의 빛을 잃지 마라. 반드시 순간이 지나가고, 다시 밝은 아침이 오겠지.",실패하고 울고 좌절하는 건 인생의 일부야. 버티고 다시 일어서면 된다구.
"오늘따라 빛나고 있구나! 마음까지 행복해진 것 같아서 너무 좋아 보여. 그 기쁨, 좀 나눠줄 수 있겠어?",오늘 기분 좋았다면 그거면 충분하지 않아? 매일매일 행복했으면 좋겠다.,오늘도 열심히 하루를 보냈구나. 조금씩 매일 성장하는 너의 모습이 너무 자랑스러워. 앞으로도 꼭 이렇게 지치지 않고 내일을 향해 가기를 응원할게.,"나쁜 감정들이 몰려오겠지만, 너무 가라앉지 마라. 이 또한 지나가리라. 여기 내 손 잡아.",비록 지금이 힘들지라도 반드시 나아질 거야. 희망을 잃지 않길. 함께 가자구.
"와, 오늘은 행복한 기운으로 가득차 보이네. 정말 좋았던 일이 많았던 모양이야. 너무 부럽다!",오늘따라 걸음걸이가 더욱 가볍고 발랄하구나. 적당한 행복이 넘치는 하루인가 봐! 정말 다행이야.,"평소와 다름없이 오늘도 수고했어. 이렇게 당연하다고 여기기 쉬운 일상 속에서도 너는 열과 성을 다하며 살아가고 있잖아. 잠시 쉬어도 좋아, 너의 노력을 응원하며 기다릴게!",힘든 시기겠지만 혼자 견디려 하지 마라. 나는 언제나 네 곁에 있을게. 함께 헤쳐나가자고.,모든 아픔은 시간이 치유해준다구. 슬퍼하고 울기만 해도 돼. 기다려줄게.
오늘따라 미소가 끊이질 않네. 행복한 하루 보내고 있나봐! 그 기쁨이 이어졌으면 좋겠다.,,평범한 하루지만 그 의미를 더하는 건 바로 너잖아. 수고로움을 덜어주고 싶어. 오늘보다 더 좋은 내일을 위해 힘내!,어려운 시기도 반드시 지나간다고 잊지 마라. 이겨낼 힘이 되어주고 싶어.,힘든 시기를 버텨내는 것도 중요한 성장 과정이야. 포기 말고 내 곁에 있어줘.
"오늘 기분 좋은 모습 너무 매력적이야. 즐거운 시간 보냈나봐! 부럽기도 하고, 아주 좋다.",,"오늘 하루 일과도 잘 마무리한 것 같다. 별일 없어 보여도, 네가 있어 특별하고 소중한 하루가 되었어. 수고했다는 말 전하고 싶어!","우울한 마음을 이겨내는 것도 힘들텐데, 잠시 숨 돌리며 휴식도 취해. 내일을 기약하며 힘내!",어려운 일도 기쁨으로 돌아올 때가 있어. 여기까지 온 너의 노력을 믿어봐. 힘내!
오늘따라 반짝이는 눈이 예쁘다. 행복한 일이 조금씩 있었나봐! 정말 다행이고 축하해!,,평범한 일상이지만 소중한 의미가 있지 않겠어. 너무 지쳐만 있진 말고 가벼운 마음으로 즐겁게 쉬길 바랄게!,"너무 힘들어하진 마라. 다시 일어설 수 있다고 믿어! 함께 여기까지 온 만큼, 앞으로도 함께 가자고.","비록 지금이 힘들지라도, 이 또한 지나가리라. 시간이 좋은 변화를 줄 거야.  "
"오늘은 행복이 가득한 얼굴이야. 좋았던 일이 많았나봐! 나도 행복해졌어, 고마워.",,오늘도 고된 하루였겠지만 열심히 해낸 너가 자랑스러워. 이렇게 꾸준히 내일을 향해 가는 너의 모습이 멋지고 대견해 보여. 힘내!,"우울한 기분을 겪고 있다면 그것도 인생의 당연한 과정일 뿐이야. 조금씩 나아질 거야, 힘내!",실망스러운 일들 뒤에는 새로운 도전이 기다리고 있을 거야. 포기하지 마!
"와, 오늘따라 행복한 기운이 물씬! 정말 좋은 일들이 있었나봐. 기분좋은 비밀이라도 있어?",,"평소처럼 보내온 듯하지만, 네 일상은 소중한 빛이 되어주고 있어. 오늘도 수고 많았다고 전하고 싶네. 내일도 행복하고 즐겁게 보내길!",기분 전환을 위해 좋아하는 음악이나 영화는 어때? 조금이라도 괜찮아질 수 있도록 내가 도와줄게!,아픈 마음은 치유되기 마련. 서서히 낫게 될 테니 조금 더 참아봐.
오늘 기분 좋은 너 정말 좋아 보여! 즐거운 시간이었기를 바라. 내일도 행복하길!,,오늘의 일상이야말로 내일의 보물이 될 거라고 생각해. 평범함 너머에 숨겨진 가치를 찾아보는 건 어때?,기분이 좋지 않다면 일단 집에 가서 푹 쉬어보는 건 어때? 필요하다면 다시 와.,너무 힘들어 보이는 일도 반드시 해낼 수 있어. 믿음을 가져.
"너무 좋아보이네, 오늘 무슨 행복한 일이 있었던거야? 좋은 소식 좀 나눠줘, 부럽다!",,"하루하루의 성장은 대나무가 자라나듯 조금씩 이뤄지는 법. 작다고 생각되는 오늘의 변화, 기쁨도 소중하다고 믿어.",우울함이 밀려오면 그냥 받아들이기만 하렴. 시간이 지나면 분명 지나갈 거야.,어려운 시기를 버티는 것도 힘들지만 중요한 일이야. 함께 견디자.
"와, 오늘따라 반짝이는 눈동자가 더 예뻐보여! 행복한 일 조금씩 있었나봐. 정말 정말 다행이야!",,"일상을 빛내 주는 건 바로 너잖아. 다시 한번 너의 존재가 감사하구나. 수고했어, 오늘도!",힘든 일을 혼자 아끼려 하지 마. 주위에 도움 줄 수 있는 사람들이 많아.,좌절의 뒤를 이어 오는 건 성취와 기쁨이야. 곧 나아질 거라 믿어! 
오늘따라 미소가 끊이질 않네! 가득 행복한 하루인 것 같다. 즐거웠음 좋겠다!,,평범함 너머 숨어있는 작은 기적들을 놓치지 말아요. 조금의 변화도 열린 마음으로 감사히 받아들이길.,조금은 시간을 내서 좋아하는 음악이나 영화 보며 마음 풀어봐. 기분 전환이 필요하지.,지친 마음에 휴식을 주는 것도 빠른 치유 방법이지. 쉬어도 괜찮아.
오늘 기분 좋은 너 너무 좋아 보여! 마음까지 행복한 것 같아서 부럽기도 하고!,,일상 속에서 즐거움을 찾는 재능이 있다면 행복한 사람이 될 수 있단다. 너도 그 재능이 있어 보여.,우울한 마음엔 위로와 격려가 필요해. 언제든지 저에게 기대. 여기 있어.,아픔 너머에는 따뜻한 위로가 기다리고 있을 거야. 힘내!
"와, 오늘따라 행복한 기운이 물씬한 것 같아! 좋았던 일 좀 알려줘, 나도 행복해지고 싶다.",,평범한 것들이 모여 서로 빛을 더해가는 거야. 너도 작지만 중요한 빛이 돼주고 있어. 고마워!,힘든 시기도 반드시 지나가. 빛나는 날들이 오기 위해 참고 견뎌내!,나쁜 시기는 반드시 지나가고 좋은 시기가 찾아온대. 기대해도 좋아!
오늘따라 빛나는 얼굴이야! 행복한 일이 정말 많았던 것 같다. 조금 나눠줄 수 있겠어?,,평범한 오늘이 특별한 내일의 씨앗이 될 거라고 믿어. 작은 변화와 성장도 충분히 자랑하길.,우울함 속에 갇혀만 있지 마. 밖에 나가서 걷거나 아무것도 안 하는 시간도 중요하니까.,지금 기분이 엄청 나쁘고 힘들겠어. 그럴 때일수록 혼자 참지 말고 내 곁에 와. 함께 이겨내자고. 
"오늘 행복한 기운 물씬한 너 너무 좋아보여! 즐거웠기를, 앞으로도 계속 행복하길!",,일상을 빛내 주는 건 다름 아닌 바로 너야. 오늘도 수고 많았다고 전하고 싶어.,기분 나쁘다고 해서 너무 자책하지 마. 이 시기가 지나가면 후회될거야.,어려운 일들이 연달아 와서 지친 것 같네. 휴식도 필요할 거야. 내가 도와줄게.
"와, 오늘 아침부터 행복 지수가 120%네! 무슨 좋은 일이 있었는데? 나눠줄 수 있겠어? 행복 전염되면 좋겠다, 하하",,"평범한 하루지만, 네가 있어서 행복했어. 내일도 너와 함께 해서 좋겠다.",우울함을 이겨내려 하다 보면 더 힘들 수 있어. 그냥 받아들이고 시간을 줘.,우울함에 빠졌다면 그것도 인생의 일부일 뿐이야. 반드시 나아질 때가 올 거야. 기다려줄게.
"오늘따라 미소 꽃이 활짝 핀 것 같아! 가득 행복한 하루를 보내고 있나봐. 부럽기도 하고, 고마워 보이기도 해.",,"평범한 일상이 반복되겠지만, 너무 지치지 마. 가능성의 문을 활짝 열어둬. 반가운 변화가 찾아올지도 몰라. 행복한 하루 돼!",힘든 시기를 버텨내는 것도 중요해. 여러분의 미래를 위해 힘내!,지금처럼 절망감을 느끼는 것도 당연하다고 생각해. 조금씩 밝아질 거야.
"오늘 기분 좋은 너, 행복 오라가 느껴지네. 좋았던 일 조금이라도 나눠줄 수 있을까? 행복은 나눌수록 늘어나잖아!",,,,어려운 일들 앞에서 누구나 좌절할 수 있지. 너무 자책하지 마. 여기 내 손 잡아.
"와, 오늘따라 웃음 주근깨가 더 예쁘다. 행복한 순간들이 가득했나봐! 조금이라도 나에게 행복 전해줄 수 있겠어?",,,,지금이 다가 아니야. 아직 끝나지 않았어. 함께 헤쳐나가자고. 포기하지 마!
오늘따라 행복 빛이 넘쳐! 무슨 좋은 소식 있었길래 이렇게 기분좋아 보이는거야? 궁금하다!,,,,어려운 시기가 지나가면 반드시 나은 시기가 찾아올 거야. 꼭 기다려줄게. 
"오늘 기분 좋은 너, 행복한 기운이 물씬 느껴져! 즐거웠던 일이라도 조금 알려줄 수 있어? 궁금해 죽겠다!",,,,너무 힘들어 보여. 혼자 견디지 말고 의지해도 돼. 여기 있을게.
"오늘따라 행복한 기운으로 하늘을 나는 것 같아! 가슴 깊이 웃고 있구나, 부럽기도 하고 아주 좋아 보여!",,,,지금처럼 절망스러울 때일수록 너를 더 아끼고 싶어. 위로해줄게.
"와, 오늘따라 반짝이는 눈동자가 너무 예뻐! 가득 행복했던 하루였나봐? 너무 부럽다!",,,,힘들고 어려울 때야말로 서로를 더욱 지지해줘야 할 때겠지. 내가 곁에 있을게.  
"오늘따라 입가에 행복한 미소가 끊이질 않네! 좋았던 일 좀 알려줘, 나도 행복해지고 싶어, 하하",,,,
오늘 기분 좋은 모습 너무 좋아 보여! 그 행복 조금이라도 나눠줄 수 있을까? 궁금하다!,,,,
